1. 1.	Karina
11. 8.	Zuzana
12. 8.	Clara
12. 8.	Klára
13. 8.	Alena
14. 8.	Alan
15. 8.	Hanka
15. 8.	Hannah
15. 8.	Hana
16. 8.	Jáchym
16. 8.	Joachim
17. 8.	Petra
17. 8.	Petronila
18. 8.	Helena
19. 8.	Ludvík
20. 8.	Bernard
21. 8.	Johana
22. 8.	Bohuslav
22. 8.	Božislav
23. 8.	Sandra
24. 8.	Bartolomej
24. 8.	Bartoloměj
25. 8.	Radim
25. 8.	Radimír
26. 8.	Luděk
27. 8.	Otokar
27. 8.	Otakar
28. 8.	Augustýn
28. 8.	Augustin
29. 8.	Evelin
29. 8.	Evelina
29. 8.	Evelína
30. 8.	Vladěna
31. 8.	Paulína
31. 8.	Pavlína
1. 9.	Linda
1. 9.	Samuel
2. 9.	Adela
2. 9.	Adléta
2. 9.	Adéla
3. 9.	Bronislav
4. 9.	Henrieta
4. 9.	Jindřiška
5. 9.	Boris
6. 9.	Boleslav
7. 9.	Regína
7. 9.	Regina
8. 9.	Mariana
9. 9.	Daniela
10. 9.	Irma
11. 9.	Denisa
11. 9.	Denis
12. 9.	Marie
13. 9.	Lubor
14. 9.	Radka
15. 9.	Jolana
16. 9.	Ludmila
17. 9.	Naděžda
18. 9.	Krištof
18. 9.	Kryštof
19. 9.	Zita
20. 9.	Oleg
21. 9.	Matouš
22. 9.	Darina
23. 9.	Berta
23. 9.	Bertina
24. 9.	Jaromír
25. 9.	Zlata
26. 9.	Andrea
26. 9.	Ondřejka
27. 9.	Jonáš
28. 9.	Václav
28. 9.	Václava
29. 9.	Michael
29. 9.	Michal
30. 9.	Jeronym
30. 9.	Jeroným
30. 9.	Jarolím
1. 10.	Igor
2. 10.	Oliver
2. 10.	Olivia
2. 10.	Olívie
3. 10.	Bohumil
4. 10.	František
5. 10.	Elsa
5. 10.	Eliška
6. 10.	Hanuš
7. 10.	Justýna
7. 10.	Justina
7. 10.	Justin
8. 10.	Věra
8. 10.	Viera
9. 10.	Štefan
9. 10.	Sára
10. 10.	Marina
10. 10.	Marína
11. 10.	Andrej
12. 10.	Marcel
13. 10.	Renata
13. 10.	Renáta
14. 10.	Agáta
15. 10.	Tereza
16. 10.	Havel
17. 10.	Hedvika
18. 10.	Lukáš
19. 10.	Michala
19. 10.	Michaela
20. 10.	Vendelín
21. 10.	Brigita
21. 10.	Bridget
22. 10.	Sabina
23. 10.	Teodor
23. 10.	Theodor
24. 10.	Nina
25. 10.	Beáta
25. 10.	Beata
26. 10.	Erik
26. 10.	Ervín
27. 10.	Šarlota
27. 10.	Zoja
27. 10.	Zoe
29. 10.	Sylva
29. 10.	Silva
29. 10.	Silvie
30. 10.	Tadeáš
31. 10.	Stefanie
31. 10.	Štepánka
1. 11.	Felix
3. 11.	Hubert
4. 11.	Karel
5. 11.	Miriam
6. 11.	Liběna
7. 11.	Saskie
8. 11.	Bohumír
9. 11.	Bohdan
10. 11.	Eugen
10. 11.	Evžen
11. 11.	Martin
12. 11.	Benedikt
13. 11.	Tibor
14. 11.	Sáva
15. 11.	Leopold
16. 11.	Otmar
16. 11.	Otomar
17. 11.	Mahulena
18. 11.	Romana
19. 11.	Alžběta
19. 11.	Elisabeth
20. 11.	Nikola
21. 11.	Albert
22. 11.	Cecílie
23. 11.	Kliment
23. 11.	Klement
24. 11.	Emilia
24. 11.	Emílie
25. 11.	Katarína
25. 11.	Katka
25. 11.	Kateřina
26. 11.	Artur
27. 11.	Xenie
28. 11.	Renée
28. 11.	René
29. 11.	Zina
30. 11.	Ondřej
1. 12.	Iva
2. 12.	Blanka
3. 12.	Svatoslav
3. 12.	Světoslav
4. 12.	Barbara
4. 12.	Barbora
4. 12.	Bára
5. 12.	Jitka
6. 12.	Mikoláš
6. 12.	Nikolas
6. 12.	Mikuláš
7. 12.	Benjamin
7. 12.	Ambrož
8. 12.	Květoslava
9. 12.	Vratislav
10. 12.	Julie
10. 12.	Juliana
10. 12.	Julia
11. 12.	Dana
12. 12.	Šimona
12. 12.	Simeona
12. 12.	Simona
13. 12.	Lucia
13. 12.	Lucie
13. 12.	Luciana
14. 12.	Lýdie
14. 12.	Lydia
14. 12.	Lydie
15. 12.	Radana
16. 12.	Albína
17. 12.	Daniel
17. 12.	Dan
18. 12.	Miloslav
19. 12.	Ester
20. 12.	Dagmara
20. 12.	Dáša
20. 12.	Dagmar
21. 12.	Natálie
22. 12.	Simon
22. 12.	Simeon
22. 12.	Šimon
23. 12.	Vlasta
24. 12.	Eva
24. 12.	Adam
26. 12.	Štepán
26. 12.	Štěpán
27. 12.	Žaneta
28. 12.	Bohumila
29. 12.	Judita
30. 12.	David
31. 12.	Silvester
31. 12.	Silvestr
31. 12.	Sylvestr
